Country or Area of the World,Ordained Ministers 2019,Churches 2019,Companies 2019,Church Membership 2019,Population Estimate (Thousands) 2019,Adventists Deaths Per Thousand,General Population Deaths Per Thousand,Church Membership Per Ten Thousand Population,Population Per Member Ratio,Perc Net Membership Growth Over Last Year,Perc Net Membership Growth Over Last 10 Years
Georgia,3,8,4,347,3997,20.29,13,1,11486,1 (13),
Germany,194,554,44,34735,83100,14.26,12,4,2392,0 (2),
Ghana,330,1931,2313,371400,30281,3.25,7,123,82,2,4
Gibraltar,0,0,0,3,34,0,0,1,8500,0 +,
Greece,3,9,5,471,10701,6.42,12,0,22672,1 (8),
Greenland,0,0,0,0,57,0,9.00 -,57000,0,0,
Grenada,16,46,5,14647,112,4.2,10,1308,8,1,13
Guadeloupe,8,64,11,9631,381,2.55,8,253,40 (25) (17),,
Guam,3,7,2,1425,174,13.33,6,82,122,0,13
Guatemala,56,1042,252,208086,17581,8.34,5,118,84 (14) (3),,
Guernsey,0,0,0,0,63,0,8.00 -,63000,0,0,
Guinea,1,6,28,2489,12218,0.48,10,2,4907,19,90
Guinea-Bissau,2,8,14,3842,1879,0,9,20,489,4,90
Guyana,28,171,60,65593,783,1.03,7,838,12 (4),20,
Haiti,99,615,502,479848,11263,1,9,426,23,2,42
Holy See,0,0,0,0,1,0,0.00 -,799,0,0,
Honduras,42,473,226,91008,9746,1.03,4,93,107 (20) (60),,
Hong Kong,21,18,3,4438,7517,6.85,6,6,1693,1,0
Hungary,35,113,27,5151,9770,17.12,13,5,1896 (1),10,
Iceland,3,6,1,469,361,2.15,7,13,768,1 (16),
India,386,4538,4792,1130543,1391885,0.85,6,8,1231 (29) (23),,
Indonesia,621,1808,537,228563,268419,3.9,7,9,1174 (1),10,
Iran,0,0,0,0,83911,0,5.00 -,83911000,0 -,,
Iraq,0,0,0,81,39310,0,5,0,479390,0 (53),
Ireland,4,7,8,700,4939,0,6,1,7046,9,158
Isle of Man,1,1,0,41,85,0,0,5,2024,0,156
Israel,4,14,6,836,8519,3.67,5,1,10178,2 (5),
Italy,38,107,19,9360,60345,3.64,11,2,6446,0,4
Jamaica,123,702,31,322666,2811,1.72,8,1148,9,3,30
Japan,38,97,48,14988,126180,11.63,11,1,8418,0 (2),
Jersey,0,0,0,0,107,0,8.00 -,107000,0,0,
Jordan,0,0,0,177,10439,0,4,0,58646,5 (9),
Kazakhstan,26,43,19,2351,18509,13.28,7,1,7869 (2) (30),,
Kenya,589,6812,3874,1067456,52574,1.99,6,203,49,3,62
Kiribati,3,14,16,2930,123,4.2,7,238,42,3,36
North Korea,0,0,0,0,25666,0,9,0,25666000,0,0
South Korea,612,673,134,259863,51846,4.18,6,50,200,1,21
Kuwait,0,0,0,200,4207,0,2,0,20930,2,15
Kyrgyzstan,6,10,9,656,6457,20.56,5,1,9828 (4) (37),,
Lao People's Democratic Republic,7,2,3,1561,7135,1.4,8,2,4568,9 (10),
Latvia,14,52,3,3774,1913,13.89,15,20,507 (1) (5),,
Lebanon,0,0,0,0,329,6856,3.19,4,0,20776,5 (16)
Lesotho,3,47,21,10549,2125,2.67,15,50,201,4,56
Liberia,23,76,78,27092,4937,2.57,8,55,182,20,8
Libya,0,0,0,0,57,6777,0,5,0,116845,10 (21)
Liechtenstein,0,0,0,10,39,0,7,3,3545,0 +,
Lithuania,9,18,4,731,2787,2.67,14,3,3807 (2) (16),,
Luxembourg,0,2,0,191,620,0,7,3,3229,17,148
Macao,0,2,1,338,675,0,3,5,1991,7,54
Madagascar,82,1036,1180,176809,26969,1.19,6,66,153,11,56
Malawi,152,1543,1984,608263,18629,1.72,7,327,31,6,86
Malaysia,54,296,157,60134,32753,4.18,5,18,545,2,14
Maldives,0,0,0,0,535,0,4.00 -,535000,0,0,
Mali,1,5,21,1979,19658,0,10,1,9928,2,31
Malta,0,1,0,28,500,0,8,1,17241 (10),4,
Marshall Islands,2,3,4,919,57,0,4,161,62,1,28
Martinique,5,68,4,16281,362,3.45,9,450,22,0,10
Mauritania,0,1,1,78,4526,0,7,0,57291,3,1014
Mauritius,11,35,3,5269,1266,5.96,9,42,240,1,16
Mayotte,0,1,0,121,276,0,3,4,2262,5,142
Mexico,520,4734,4368,774296,126577,3.93,6,61,163,2,20
Federated States of Micronesia,1,7,1,1815,106,2.25,5,171,58,2,48
Moldova,34,140,98,8576,3543,15.81,10,24,413 (2) (21),,
Monaco,0,0,0,0,38,0,7.00 -,38000,0,0,
Mongolia,9,6,5,3066,3269,1.05,6,9,1066,7,104
Montenegro,2,5,0,229,622,12.88,11,4,2704 (2) (11),,
Montserrat,0,2,1,605,5,5.19,9,1210,8 (21) (50),,
Morocco,0,0,0,37,35587,0,5,0,936500,28,164
Mozambique,25,1047,1645,374656,30366,1.62,9,123,81,1,51
Myanmar,75,239,94,34341,54045,3.45,8,6,1574,3,23
Namibia,8,125,44,23849,2495,3.09,8,96,105,5,35
Nauru,1,1,0,98,11,0,8,89,111,2,390
Nepal,8,26,82,9228,28609,0,6,3,3100 (2),15,
Netherlands,20,58,16,5990,17335,10.65,9,3,2894,0,23
New Caledonia,5,6,3,1064,291,0,6,37,273,3,49
New Zealand,44,86,22,13412,4973,8.58,7,27,371,1,24
Nicaragua,29,287,257,46266,6546,4.23,5,71,141 (37) (57),,
Niger,3,2,27,1230,23311,3.13,9,1,18937,28,442
Nigeria,344,1239,1477,272288,200964,3.52,12,14,738,3 (2),
Niue,1,1,0,27,1,0,11,270,36,17,69
North Macedonia,7,15,6,548,2078,21.98,10,3,3785,0 (4),
Northern Mariana Islands,1,1,4,351,59,0,5,59,168,1,44
Norway,0,62,2,4535,5345,18.74,8,8,1178,0 (2),
Oman,0,0,0,70,4695,0,2,0,66127,3,59
Pakistan,15,120,67,14315,216565,4.74,7,1,15127,6,9
Palau,2,4,2,1352,18,4.47,9,751,13,1,38
Palestine State,0,0,0,0,0,4979,0,2.00 -,4979000,0,0
Panama,48,377,245,93844,4219,0.86,5,222,45,7,4
Papua New Guinea,349,1071,3207,355016,8752,5.98,11,406,25,6,42
Paraguay,22,66,92,13090,7156,4.44,5,18,547,4 (17),
Peru,333,2576,3276,400117,31781,5.88,5,126,79,2 (6),
Philippines,462,4940,2253,1215572,108117,2.31,6,112,89,5,80
Pitcairn,1,1,0,35,0,0,0,7143,1,0,94
Poland,28,116,26,5830,38400,12.68,11,2,6585,0,2
Portugal,31,94,20,10012,10269,9.78,11,10,1026,4,7
Puerto Rico,101,312,9,33493,3059,5.56,9,109,91,1 (8),
Qatar,0,0,0,346,2796,6.8,1,1,8058,18,327
Reunion,6,17,2,1288,869,2.07,6,15,674 (11) (7),,
Romania,74,1074,265,62934,19361,21.34,12,33,308 (1) (7),,
Russian Federation,192,635,414,41808,144819,14.94,13,3,3464 (1) (22),,
Rwanda,172,1881,672,972966,12627,0.64,5,771,13,6,108
Saint Barthelemy,0,0,0,4,10,0,8,4,2000,0,0
Saint Helena,1,1,0,109,6,0,0,182,55,0,1
Saint Kitts and Nevis,3,12,2,2444,53,3.14,9,461,22 (4),16,
Saint Lucia,17,44,4,24143,180,0.63,7,1341,7,1,60
Saint Martin,1,4,2,465,38,0,4,122,82,0,0
Saint Pierre and Miquelon,0,0,0,0,6,0,11.00 -,6000,0,0,
Saint Vincent and the Grenadines,11,39,3,16082,111,3.33,9,1449,7,1,17
Samoa,16,36,29,9203,199,4.41,5,462,22,10,44
San Marino,0,0,0,0,33,0,7.00 -,33000,0,0,
Sao Tome and Principe,3,22,79,7195,206,2.24,6,349,29,7,176
Saudi Arabia,0,0,0,494,34218,0,3,0,69127,17,384
Senegal,3,6,6,689,16296,1.5,6,0,23617,3,39
Serbia,23,167,0,5642,8742,14.1,13,6,1549 (4) (15),,
Seychelles,2,8,2,1105,98,4.63,8,113,89,2,63
Sierra Leone,6,53,65,12044,7813,3.93,12,15,649,18 (34),
Singapore,9,8,0,3165,5804,2.56,5,5,1833,1,20
Sint Maarten,6,6,1,3110,43,1,4,723,14,4,34
Slovakia,14,43,10,2218,5454,13.06,10,4,2458,0,1
Slovenia,1,15,2,563,2088,10.62,10,3,3702,0,1
Solomon Islands,52,203,402,55202,699,0.33,5,790,13,1,37
Somalia,0,0,0,0,15443,0,11.00 -,15443000,0,0,
South Africa,141,1182,328,144202,58616,1.25,9,25,406,1,60
South Sudan,27,84,176,49435,11062,0.23,11,45,224,24,210
Spain,51,110,59,17296,47073,4.8,9,4,2721,1,13
Sri Lanka,11,35,21,3317,21898,1.52,6,2,6600,1 (11),
Sudan,0,0,0,562,42813,0,7,0,76044,435,546
Suriname,5,15,5,5422,602,0.6,6,90,111,8,46
Sweden,0,32,4,2919,10286,21.52,9,3,3523,0,4
Switzerland,23,57,3,4808,8572,10.32,8,6,1782,1,12
Syrian Arab Republic,0,0,0,0,0,17070,0,6.00 -,17070000,0,0
Taiwan,45,58,28,6928,23593,2.22,7,3,3405,3,16
Tajikistan,2,3,6,239,9221,13.16,4,0,38421,5 (62),
Tanzania United Republic of,294,3362,2645,799518,58005,2.77,7,138,73,9,77
Thailand,39,54,75,14859,66374,1.53,8,2,4467,3,14
Timor-Leste,3,1,2,639,1293,0,6,5,2020,4,55
Togo,13,71,125,9688,8082,3.86,9,12,834,4 (12),
Tokelau,0,0,0,0,1,0,9.00 -,1000,0 -,,
Tonga,10,16,18,3728,100,1.61,7,373,27,0,52
Trinidad and Tobago,57,165,22,68647,1362,3.07,8,504,20,1,9
Tunisia,0,0,0,51,11665,0,6,0,224327,38,82
Turkey,0,0,0,491,82607,0,5,0,167900,19,538
Turkmenistan,0,1,2,96,5942,10.1,7,0,61258 (3),8,
Turks and Caicos Islands,3,9,1,3777,38,0.56,2,994,10,6,85
Tuvalu,1,1,2,365,10,5.54,9,365,27,1,132
Uganda,167,1225,2329,423229,44270,0.69,7,96,105,5,106
Ukraine,228,829,267,46625,43949,20.01,14,11,943 (2) (24),,
United Arab Emirates,0,0,0,1231,9586,0.87,1,1,7781,8,228
United Kingdom,150,288,110,38850,66833,6.17,9,6,1720,2,28
United States,2813,5197,784,1180222,329154,6.51,9,36,279,0,13
Virgin Islands of the US,8,13,2,9243,107,2.62,8,864,12,1,14
Uruguay,16,60,53,7158,3519,11.65,9,20,492 (6) (3),,
Uzbekistan,4,10,6,694,33471,23.43,5,0,48160,2 (45),
Vanuatu,15,90,125,26838,313,0.91,4,857,12,2,51
Venezuela,76,1232,453,358190,28516,1.4,7,126,80,3,65
Viet Nam,21,18,176,13817,95656,3.3,7,1,6923,4,40
Wallis and Futuna Islands,0,0,0,18,12,0,7,15,632,0,157
Western Sahara,0,0,0,0,582,0,5.00 -,582000,0,0,
Yemen,0,0,0,0,29162,0,6.00 -,29162000,0,0,
Zambia,114,3239,4191,1363682,17861,1.92,7,763,13,6,107
Zimbabwe,112,2450,2142,989282,14645,1.22,10,676,15,4,60
