Country,Temples,Missions,Districts,Stakes,Wards,Branches,Wards & Branches
Guadeloupe,0,0,0,0,0,1,1
Guam,0,1,0,1,4,3,7
Guatemala,2,7,12,51,300,138,438
Guernsey,0,0,0,0,0,1,1
Guinea,0,0,0,0,0,1,1
Guyana,0,0,2,0,0,11,11
Haiti,1,1,4,5,27,21,48
Honduras,1,4,5,31,179,60,239
Hong Kong,1,1,1,6,32,5,37
Hungary,0,1,2,1,5,17,22
Iceland,0,0,0,0,0,3,3
India,0,2,3,4,21,25,46
Indonesia,0,1,1,2,15,9,24
Ireland,0,0,1,1,5,8,13
Isle Of Man,0,0,0,0,1,0,1
Israel,0,0,1,0,0,3,3
Italy,1,2,0,10,62,33,95
Ivory Coast,0,3,17,14,127,123,250
Jamaica,0,1,1,1,6,13,19
Japan,3,6,13,28,157,104,261
Jordan,0,0,1,0,0,2,2
Kazakhstan,0,0,0,0,0,2,2
Kenya,0,1,6,2,13,42,55
Kiribati,0,0,3,2,11,26,37
Kosovo,0,0,0,0,0,2,2
Kuwait,0,0,0,0,1,0,1
Latvia,0,1,1,0,0,5,5
Lebanon,0,0,0,0,0,1,1
Lesotho,0,0,1,0,0,6,6
Liberia,0,1,1,5,38,15,53
Lithuania,0,0,1,0,0,5,5
Luxembourg,0,0,0,0,1,0,1
Macau,0,0,1,0,0,2,2
Macedonia,0,0,0,0,0,1,1
Madagascar,0,1,3,2,16,26,42
Malawi,0,0,2,0,0,8,8
Malaysia,0,0,6,0,0,30,30
Mali,0,0,0,0,0,1,1
Malta,0,0,0,0,0,1,1
Marshall Islands,0,1,0,2,12,1,13
Martinique,0,0,0,0,0,1,1
Mauritius,0,0,1,0,0,3,3
Mexico,13,32,47,222,"1,356",487,"1,843"
Micronesia,0,0,2,1,6,18,24
Moldova,0,0,1,0,0,4,4
Mongolia,0,1,1,2,12,12,24
Montenegro,0,0,0,0,0,1,1
Morocco,0,0,0,0,0,1,1
Mozambique,0,1,2,4,25,19,44
Namibia,0,0,1,0,0,4,4
Nauru,0,0,0,0,0,1,1
Netherlands,1,1,0,3,20,4,24
Netherlands Antilles,0,0,0,0,0,2,2
New Caledonia,0,0,0,1,6,3,9
New Zealand,1,3,2,30,177,51,228
Nicaragua,0,2,4,12,73,39,112
Nigeria,1,7,19,59,428,294,722
Niue,0,0,0,0,0,2,2
Norway,0,1,0,2,11,9,20
Oman,0,0,0,0,0,1,1
Panama,1,1,4,7,44,29,73
Papua New Guinea,0,2,12,2,10,71,81
Paraguay,1,2,9,11,61,73,134
Peru,2,14,17,112,666,114,780
Philippines,2,23,63,115,721,518,"1,239"
Poland,0,1,2,0,0,13,13
Portugal,0,1,4,6,32,35,67
Puerto Rico,0,1,0,5,27,13,40
Qatar,0,0,0,0,2,1,3
Republic Of Serbia,0,0,1,0,0,3,3
Romania,0,0,3,0,0,15,15
Russia,0,5,8,3,17,81,98
Rwanda,0,0,1,0,0,4,4
Saint Lucia,0,0,0,0,0,2,2
Saint Vincent,0,0,1,0,0,3,3
Samoa,1,1,0,20,151,11,162
Senegal,0,0,0,0,0,2,2
Sierra Leone,0,1,2,7,47,32,79
Singapore,0,1,0,1,7,1,8
Slovakia,0,0,1,0,0,4,4
Slovenia,0,0,1,0,0,3,3
Solomon Islands,0,0,1,0,0,5,5
South Africa,1,4,9,17,112,81,193
South Korea,1,3,5,12,61,40,101
Spain,1,2,2,15,93,44,137
Sri Lanka,0,0,1,0,0,4,4
St Kitts,0,0,0,0,0,1,1
St Maarten,0,0,0,0,0,1,1
Suriname,0,0,1,0,0,5,5
Swaziland,0,0,1,0,0,6,6
Sweden,1,1,1,4,25,15,40
Switzerland,1,0,0,5,27,8,35
Tahiti,0,0,0,0,1,0,1
Taiwan,1,2,0,16,98,10,108
Tanzania,0,0,1,0,0,8,8
Thailand,0,1,2,4,20,21,41
Togo,0,0,0,2,14,6,20
Tonga,1,1,2,21,138,34,172
Trinidad And Tobago,0,1,0,1,5,4,9
Turkey,0,0,0,0,0,7,7
Tuvalu,0,0,0,0,0,1,1
Uganda,0,1,3,3,16,18,34
Ukraine,1,2,5,1,8,41,49
United Arab Emirates,0,0,0,1,5,1,6
United Kingdom,2,5,0,45,280,41,321
United States,81,109,5,"1,643","12,677","1,783","14,460"
Uruguay,1,2,2,18,100,34,134
Us Virgin Islands,0,0,0,0,0,1,1
Vanuatu,0,1,3,1,5,32,37
Venezuela,1,4,5,34,178,50,228
Vietnam,0,1,2,0,0,11,11
Zambia,0,1,2,1,7,6,13
Zimbabwe,0,2,3,7,43,44,87
Sensitive Locations (appx.),0,0,12,0,0,108,108
