Country,Temples,Missions,Districts,Stakes,Wards,Branches,Wards & Branches
Portugal,1,1,1,7,39,23,62
Puerto Rico,0,1,0,5,27,11,38
Qatar,0,0,0,0,2,1,3
Republic Of Congo,0,0,0,0,1,0,1
Republic Of Serbia,0,0,1,0,0,3,3
Romania,0,0,3,0,0,15,15
Russia,0,5,7,3,17,74,91
Rwanda,0,0,1,0,0,4,4
Saint Lucia,0,0,0,0,0,2,2
Saint Vincent,0,0,1,0,0,3,3
Samoa,1,1,0,20,155,9,164
Senegal,0,0,0,0,0,2,2
Sierra Leone,0,1,1,9,62,24,86
Singapore,0,1,0,1,7,1,8
Slovakia,0,0,1,0,0,4,4
Slovenia,0,0,1,0,0,2,2
Solomon Islands,0,0,1,0,0,5,5
South Africa,2,4,10,17,115,80,195
South Korea,1,3,5,12,60,40,100
Spain,1,2,1,15,95,42,137
Sri Lanka,0,0,1,0,0,5,5
St Kitts,0,0,0,0,0,1,1
St Maarten,0,0,0,0,0,1,1
Suriname,0,0,1,0,0,5,5
Swaziland,0,0,1,0,0,5,5
Sweden,1,1,1,4,25,15,40
Switzerland,1,0,0,5,27,8,35
Taiwan,1,2,0,16,90,8,98
Tanzania,0,1,1,0,0,13,13
Thailand,0,1,2,4,21,20,41
Togo,0,0,0,2,15,7,22
Tonga,1,2,2,21,140,35,175
Trinidad And Tobago,0,0,0,1,5,4,9
Turkey,0,0,0,0,0,8,8
Uganda,0,1,3,3,18,18,36
Ukraine,1,2,4,2,12,35,47
United Arab Emirates,0,0,0,1,5,1,6
United Kingdom,2,5,0,45,280,41,321
United States,82,109,6,"1,670","12,857","1,816","14,673"
Uruguay,1,2,2,18,97,32,129
Us Virgin Islands,0,0,1,0,0,2,2
Vanuatu,0,1,3,1,5,33,38
Venezuela,1,4,5,34,180,53,233
Vietnam,0,1,2,0,0,11,11
Zambia,0,1,2,1,7,12,19
Zimbabwe,0,2,2,8,50,41,91
Sensitive Locations (appx.),0,0,9,0,0,90,90
