Country,Temples,Missions,Districts,Stakes,Wards,Branches,Wards & Branches
Grenada,0,0,0,0,0,1,1
Guadeloupe,0,0,1,0,0,3,3
Guam,0,1,0,1,4,0,4
Guatemala,2,6,14,49,291,150,441
Guernsey,0,0,0,0,0,1,1
Guinea,0,0,0,0,0,1,1
Guyana,0,0,2,0,0,11,11
Haiti,0,1,4,5,26,20,46
Honduras,1,4,5,31,179,59,238
Hong Kong,1,1,1,6,33,6,39
Hungary,0,1,2,1,5,17,22
Iceland,0,0,0,0,0,3,3
India,0,2,3,4,21,24,45
Indonesia,0,1,1,2,15,9,24
Ireland,0,0,1,1,5,8,13
Isle Of Man,0,0,0,0,1,0,1
Israel,0,0,1,0,0,3,3
Italy,0,2,0,10,62,35,97
Ivory Coast,0,3,12,14,120,110,230
Jamaica,0,1,1,1,6,13,19
Japan,3,7,13,28,157,104,261
Jordan,0,0,1,0,0,2,2
Kazakhstan,0,0,0,0,0,2,2
Kenya,0,1,4,2,12,38,50
Kiribati,0,0,2,2,11,21,32
Kosovo,0,0,0,0,0,2,2
Kuwait,0,0,0,0,1,0,1
Latvia,0,1,1,0,0,5,5
Lebanon,0,0,0,0,0,1,1
Lesotho,0,0,1,0,0,6,6
Liberia,0,1,1,4,33,14,47
Lithuania,0,0,1,0,0,5,5
Luxembourg,0,0,0,0,1,0,1
Macau,0,0,1,0,0,3,3
Macedonia,0,0,0,0,0,1,1
Madagascar,0,1,3,2,14,26,40
Malawi,0,0,2,0,0,8,8
Malaysia,0,0,6,0,0,32,32
Mali,0,0,0,0,0,1,1
Malta,0,0,0,0,0,1,1
Marshall Islands,0,1,0,2,12,0,12
Martinique,0,0,0,0,0,1,1
Mauritius,0,0,1,0,0,3,3
Mexico,13,32,47,220,"1,354",492,"1,846"
Micronesia,0,0,2,1,6,18,24
Moldova,0,0,1,0,0,4,4
Mongolia,0,1,1,2,12,12,24
Montenegro,0,0,0,0,0,1,1
Morocco,0,0,0,0,0,1,1
Mozambique,0,1,1,3,22,12,34
Namibia,0,0,1,0,0,4,4
Nauru,0,0,0,0,0,1,1
Netherlands,1,1,0,3,20,5,25
New Caledonia,0,0,0,1,6,3,9
New Zealand,1,3,2,30,173,52,225
Nicaragua,0,2,4,12,73,39,112
Nigeria,1,7,15,54,394,255,649
Niue,0,0,0,0,0,2,2
Norway,0,1,0,2,11,10,21
Oman,0,0,0,0,0,1,1
Panama,1,1,4,7,45,28,73
Papua New Guinea,0,2,12,2,10,70,80
Paraguay,1,2,9,11,61,73,134
Peru,2,13,19,104,634,125,759
Philippines,2,22,68,107,691,537,"1,228"
Poland,0,1,2,0,0,12,12
Portugal,0,1,4,6,31,36,67
Puerto Rico,0,1,0,5,27,13,40
Qatar,0,0,0,0,2,1,3
Republic Of Serbia,0,0,1,0,0,3,3
Romania,0,0,3,0,0,15,15
Russia,0,5,9,3,17,81,98
Rwanda,0,0,1,0,0,3,3
Saint Lucia,0,0,0,0,0,2,2
Saint Vincent,0,0,0,0,0,3,3
Samoa,1,1,0,20,147,11,158
Senegal,0,0,0,0,0,2,2
Sierra Leone,0,1,4,5,32,37,69
Singapore,0,1,0,1,10,1,11
Slovakia,0,0,1,0,0,4,4
Slovenia,0,0,1,0,0,3,3
Solomon Islands,0,0,1,0,0,5,5
South Africa,1,4,9,17,109,79,188
South Korea,1,4,5,12,63,40,103
Spain,1,2,2,15,92,46,138
Sri Lanka,0,0,1,0,0,4,4
St Kitts,0,0,0,0,0,1,1
St Maarten,0,0,0,0,0,1,1
Sudan,0,0,0,0,0,1,1
Suriname,0,0,1,0,0,5,5
Swaziland,0,0,1,0,0,6,6
Sweden,1,1,1,4,24,16,40
Switzerland,1,0,0,5,28,8,36
Taiwan,1,2,0,17,108,9,117
Tanzania,0,0,1,0,0,6,6
Thailand,0,1,2,4,22,21,43
Togo,0,0,0,2,14,4,18
Tonga,1,1,2,21,138,32,170
Trinidad And Tobago,0,1,0,1,5,4,9
Turkey,0,0,0,0,0,7,7
Tuvalu,0,0,0,0,0,1,1
Uganda,0,1,0,3,16,15,31
Ukraine,1,2,5,1,8,40,48
United Arab Emirates,0,0,0,1,5,1,6
United Kingdom,2,5,0,45,281,43,324
United States,81,117,6,"1,629","12,501","1,772","14,273"
Uruguay,1,2,3,18,103,36,139
Us Virgin Islands,0,0,0,0,0,1,1
Vanuatu,0,1,3,1,5,30,35
Venezuela,1,4,5,34,181,50,231
Vietnam,0,1,2,0,0,11,11
Zambia,0,1,2,1,7,6,13
Zimbabwe,0,2,3,7,41,40,81
Sensitive Locations (appx.),0,0,12,0,0,108,108
