Country,Temples,Missions,Districts,Stakes,Wards,Branches,Wards & Branches
Qatar,0,0,0,0,2,1,3
Republic Of Congo,0,0,0,0,1,0,1
Republic Of Serbia,0,0,1,0,0,3,3
Romania,0,0,3,0,0,15,15
Russia,0,5,7,3,17,80,97
Rwanda,0,0,1,0,0,4,4
Saint Lucia,0,0,0,0,0,2,2
Saint Vincent,0,0,1,0,0,3,3
Samoa,1,1,0,20,153,9,162
Senegal,0,0,0,0,0,2,2
Sierra Leone,0,1,2,7,53,29,82
Singapore,0,1,0,1,7,1,8
Slovakia,0,0,1,0,0,4,4
Slovenia,0,0,1,0,0,3,3
Solomon Islands,0,0,1,0,0,5,5
South Africa,2,4,10,17,115,80,195
South Korea,1,3,5,12,61,39,100
Spain,1,2,1,15,94,43,137
Sri Lanka,0,0,1,0,0,5,5
St Kitts,0,0,0,0,0,1,1
St Maarten,0,0,0,0,0,1,1
Suriname,0,0,1,0,0,5,5
Swaziland,0,0,1,0,0,6,6
Sweden,1,1,1,4,25,15,40
Switzerland,1,0,0,5,27,8,35
Taiwan,1,2,0,16,91,9,100
Tanzania,0,1,1,0,0,10,10
Thailand,0,1,2,4,21,20,41
Togo,0,0,0,2,14,6,20
Tonga,1,1,2,21,139,35,174
Trinidad And Tobago,0,1,0,1,5,4,9
Turkey,0,0,0,0,0,7,7
Uganda,0,1,3,3,18,18,36
Ukraine,1,2,5,1,8,41,49
United Arab Emirates,0,0,0,1,5,1,6
United Kingdom,2,5,0,45,280,40,320
United States,81,110,5,"1,659","12,780","1,793","14,573"
Uruguay,1,2,2,18,97,32,129
Us Virgin Islands,0,0,0,0,0,2,2
Vanuatu,0,1,3,1,5,32,37
Venezuela,1,4,5,34,179,50,229
Vietnam,0,1,2,0,0,11,11
Zambia,0,1,2,1,7,6,13
Zimbabwe,0,2,3,7,44,46,90
Sensitive Locations (appx.),0,0,12,0,0,103,103
